id,title,description,image_link,link,google_product_category,brand,price,currency,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition
"1849","Adaptor AV la HDMI, Active, Full HD, convertor 3 x RCA analog la hdmi digital cu mufa video si sunet","Atentie, functioneaza doar pe aceasta directie:  de la DVD cu mufa AV/RCA (sau consola joc ps3 sau xbox 360), spre televizor cu mufa HDMI (sau monitor, videoproiector, etc) , NU SI INVERS. Pentru directia inversa, vezi ""Adaptor HDMI la AV""Intrare semnal in adaptor: 3 x RCA (de la: dvd, ps3 sau xbox 360)Iesire semnal din adaptor: HDMI (spre: Televizor, monitor, videoproiector, etc)Adaptorul AV la HDMI este un convertor universal cu intrare analogica AV ( 3 x RCA) si iesire digitala HDMI (60Hz)Convertirea analog-digital cu detectarea automata si conversia automata a semnalului, puteti conecta dispozitive modele mai vechi cu RCA la televizoare/monitoare modele noi cu HDMI. Plug and Play, nu necesita drivere. Buton switch pentru rezolutie 720P sau 1080P (fara conversie)Aveti nevoie de un cablu AV la intrare si un cablu HDMI la iesire. Contine cablu alimentare USB 5V.Compatibil cu HDMI 1.4","http://www.pluscomputer.ro/image/catalog/cabluri/adaptoare/adaptor av la hdmi.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1849","HDMI","Active","65 RON","RON","in stock","1849","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1849","http://www.pluscomputer.ro/image/catalog/cabluri/adaptoare/adaptor av la hdmi 2.jpg,http://www.pluscomputer.ro/image/catalog/cabluri/adaptoare/adaptor av la hdmi 3.jpg","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","55 RON","new"
"1889","Adaptor AV la VGA, Active, Full HD, convertor analog 3 x RCA la VGA cu mufa video si sunet audio mam","Atentie, functioneaza doar pe aceasta directie:  de la DVD cu mufa AV/RCA (sau consola joc ps3 sau xbox 360), spre televizor cu mufa HDMI (sau monitor, videoproiector, etc) , NU SI INVERS. Pentru directia inversa, vezi ""Adaptor VGA la AV""Intrare semnal in adaptor: 3 x RCA (de la: dvd, ps3 sau xbox 360)Iesire semnal din adaptor: VGA (spre: Televizor, monitor, videoproiector, etc)Adaptorul AV la VGA este un convertor universal analog cu intrare AV ( 3 x RCA) si iesire VGAConversia automata a semnalului cu detectarea automata, puteti conecta dispozitive modele mai vechi cu RCA la televizoare/monitoare modele mai vechi cu VGA. Plug and Play, nu necesita drivere. Buton switch pentru NTFS/PALAveti nevoie de un cablu 3xRCA la intrare si un cablu VGA la iesire. Contine cablu alimentare USB 5V.","http://www.pluscomputer.ro/image/catalog/cabluri/video/av rca/adaptor av la vga.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1889","VGA","Active","60 RON","RON","in stock","1889","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1889","http://www.pluscomputer.ro/image/catalog/cabluri/video/av rca/adaptor av la vga 4.jpg,http://www.pluscomputer.ro/image/catalog/cabluri/video/av rca/adaptor av la vga 2.jpg,http://www.pluscomputer.ro/image/catalog/cabluri/video/av rca/adaptor av la vga 3.jpg","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","49 RON","new"
"1839","Adaptor BNC la HDMI, Active, Full HD, convertor bnc analog la hdmi digital cu mufa video si sunet au","Atentie, functioneaza doar pe aceasta directie:  de la dvr camere supraveghere cu mufa BNC (sau cablu coaxial TV), spre televizor cu mufa HDMI (sau monitor, videoproiector, etc) , NU SI INVERS. Pentru directia inversa, vezi ""Adaptor HDMI la BNC""Intrare semnal in adaptor: BNC  (de la: DVR camere supraveghere, sau cablu tv coaxial)Iesire semnal din adaptor: HDMI (spre: Televizor, monitor, videoproiector, etc)Adaptorul BNC la HDMI este un convertor universal cu intrare analogica BNC si iesire digitala HDMI (60Hz)Convertirea analog-digital cu detectarea automata si conversia automata a semnalului, puteti conecta dispozitive modele analog cu BNC sau Coaxial la televizoare/monitoare modele noi cu HDMI. Plug and Play, nu necesita drivere. Buton switch pentru standarde tv PAL si NTSC la intrare. Suporta rezolutie maxima FHD.Aveti nevoie de un cablu BNC sau coaxial cu mufa bnc la intrare si un cablu HDMI la iesire. Contine cablu alimentare USB 5V.Compatibil cu HDMI 1.4Rezolutii HDMI suportate:640x480@60Hz, 800x600@60Hz, 1024x768@60Hz, 1280x720@60Hz, 1280x1024@60Hz, 1360x768@60Hz, 1600x1200@60Hz, 1920x1080@60Hz, 576p/60Hz, 720p50/60Hz, 1080i50/60Hz, 1080p23.97/24/25/50/59.94/60Hz.","http://www.pluscomputer.ro/image/catalog/cabluri/video/bnc/adaptor bnc la hdmi.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1839","CCTV","Active","150 RON","RON","in stock","1839","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1839","http://www.pluscomputer.ro/image/catalog/cabluri/video/bnc/adaptor bnc hdmi 1.jpg,http://www.pluscomputer.ro/image/catalog/cabluri/video/bnc/adaptor bnc hdmi 2.jpg","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","130 RON","new"
"1607","Adaptor Cablu audio Jack 2 x 3.5mm 3 pin Tata (microfon + casti/ boxe) la 1 x jack 3.5mm 4 pin Mama ","Cablu audio Jack 2 x 3.5mm 3 pin Tata (microfon + casti/ boxe) la 1 x jack 3.5mm 4 pin Mama - 20cmCu acest cablu puteti avea la castile prevazute cu 1 mufa jack 4 pini Tata, 2 mufe jack 3 pini Tata pentru microfon si casti, pentru a le putea folosi la dispositive prevazute cu 2 intrari separate pentru casti/boxe si microfon (calculator, laptop,...)","http://www.pluscomputer.ro/image/catalog/cabluri/cablu 2 x jack tata la 1 x ajck mama 2.png","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1607","Audio Cables","DeTech","20 RON","RON","in stock","1607","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1607","","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","15 RON","new"
"1872","Adaptor Cablu audio Jack 2 x 3.5mm 3 pin Tata (microfon + casti/ boxe) la 1 x jack 3.5mm 4 pin Mama ","Cablu audio Jack 2 x 3.5mm 3 pin Tata (microfon + casti/ boxe) la 1 x jack 3.5mm 4 pin Mama - 20cmCu acest cablu puteti avea la castile prevazute cu 1 mufa jack 4 pini Tata, 2 mufe jack 3 pini Tata pentru microfon si casti, pentru a le putea folosi la dispositive prevazute cu 2 intrari separate pentru casti/boxe si microfon (calculator, laptop,...)","http://www.pluscomputer.ro/image/catalog/cabluri/audio/cablu audio jack spliter 18210  2 tata.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1872","Audio Cables","DeTech","20 RON","RON","in stock","1872","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1872","http://www.pluscomputer.ro/image/catalog/cabluri/audio/cablu audio spliter 18210.jpg","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","15 RON","new"
"1567","Adaptor Cablu audio Jack 3.5mm 4 pini Tata ( telefon) la 2 x 3.5mm 3 pin Mama (microfon + casti/ box","Cu acest cablu puteti avea la dispozitive prevazute cu 1 mufa jack 4 pini mama, 2 mufe jack tata 3 pini pentru microfon si casti, pentru a putea folosi la telefon/laptop/tableta/consola  casti si microfon de calculator.","http://www.pluscomputer.ro/image/catalog/cabluri/audio/cablu audio jack 4pin NA.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1567","Adapter Cables","Active","20 RON","RON","in stock","1567","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1567","","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","15 RON","new"
"1594","Adaptor Cablu audio Jack 3.5mm 4 pini Tata ( telefon) la 2 x 3.5mm 3 pin Mama (microfon + casti/ box","Cu acest cablu puteti avea la dispozitive prevazute cu 1 mufa jack 4 pini mama, 2 mufe jack tata 3 pini pentru microfon si casti, pentru a putea folosi la telefon/laptop/tableta/consola  casti si microfon de calculator.","http://www.pluscomputer.ro/image/catalog/cabluri/adaptor-stereo-jack-35mm-tata---2-x-jack-35mm-mama.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1594","Adapter Cables","Active","20 RON","RON","out of stock","1594","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1594","","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","15 RON","new"
"1838","Adaptor Cablu audio Jack 3.5mm 4 pini Tata ( telefon) la 2 x 3.5mm 3 pin Mama (microfon + casti/ box","Cu acest cablu puteti avea la dispozitive prevazute cu 1 mufa jack 4 pini mama, 2 mufe jack tata 3 pini pentru microfon si casti, pentru a putea folosi la telefon/laptop/tableta/consola  casti si microfon de calculator.","http://www.pluscomputer.ro/image/catalog/cabluri/audio/cablu jack 4 pin 18211 negru.png","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1838","Adapter Cables","DeTech","20 RON","RON","in stock","1838","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1838","","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","15 RON","new"
"1805","Adaptor Cablu audio Jack Active, 2 x 3.5mm 3 pin Tata (microfon + casti/ boxe) la 1 x jack 3.5mm 4 p","Cablu audio Jack 2 x 3.5mm 3 pin Tata (microfon + casti/ boxe) la 1 x jack 3.5mm 4 pin Mama - 20cmCu acest cablu puteti avea la castile prevazute cu 1 mufa jack 4 pini Tata, 2 mufe jack 3 pini Tata, pentru microfon si casti, pentru a le putea folosi la dispositive prevazute cu 2 intrari separate pentru casti/boxe si microfon (calculator, laptop,...)","http://www.pluscomputer.ro/image/catalog/cabluri/audio/cablu jack 4 pin mama.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1805","Audio Cables","Active","20 RON","RON","in stock","1805","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1805","","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","13 RON","new"
"1760","Adaptor Cablu audio optic digital Toslink mama la mini Toslink tata Active, mufa conectori auriti, n","Adaptorul audio digital Toslink mama la mini Toslink tata cu conectori auriti previne coroziunea si asigura o protectie maxima a varfului fibrei.Transforma o mufa Toslink tata intr-o mufa mini Toslink tata.Compatibil cu orice cablu cu fibra optica audio Toslink tata.Tehnologia audio digitala Toslink va ofera cel mai curat semnal posibil chiar si la niveluri de volum extrem.Detine conectori auriti pentru a previni coroziunea si pentru o protectie maxima a varfului fibrei.","http://www.pluscomputer.ro/image/catalog/cabluri/audio/adaptor toslink minitoslink.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1760","Audio Cables","Active","10 RON","RON","in stock","1760","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1760","http://www.pluscomputer.ro/image/catalog/cabluri/audio/mini toslink.jpg","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","6 RON","new"
